emojis,answer,type,options,book,category
🐟⛵🧔🎣,"베드로,시몬,시몬베드로",short_answer,,마태복음,인물
✝️👑🧔❤️,"예수,예수님,구세주",short_answer,,마태복음,인물
🌳🧔👀💰,"삭개오,뽕나무삭개오",short_answer,,누가복음,인물
💧🧔🦗🍯,"세례요한,세례자요한,요한",short_answer,,마태복음,인물
✉️🚶‍♂️⛪📜,"바울,사도바울,사울",short_answer,,사도행전,인물
🧔💰🪙💋,"가룟유다,유다,가룟인유다",short_answer,,마태복음,인물
👩👶⭐👼,"마리아,성모마리아,예수님어머니",short_answer,,누가복음,인물
🧔👉🕳️❓,"도마,의심많은도마,사도도마",short_answer,,요한복음,인물
👦📜✉️👴,디모데,short_answer,,디모데후서,인물
💰✍️📜🧔,"마태,세리마태",short_answer,,마태복음,인물
🪨🧔👼✨,"스데반,스데반집사",short_answer,,사도행전,인물
🤝🧔❤️🤗,바나바,short_answer,,사도행전,인물
🧔🗡️✝️👑,"야고보,사도야고보",short_answer,,사도행전,인물
🌃🧔❓👶,니고데모,short_answer,,요한복음,인물
⛓️🙏🎶🧔,실라,short_answer,,사도행전,인물
🧔📜⛪💧,"빌립,사도빌립",short_answer,,사도행전,인물
🗣️📖💧🔥,아볼로,short_answer,,사도행전,인물
🧔🪵🔨📐,"요셉,목수요셉",short_answer,,마태복음,인물
🕶️🧑🦯🗣️,"바디매오,맹인바디매오,소경바디매오",short_answer,,마가복음,인물
✍️🦁📖🧔,마가,short_answer,,마가복음,인물
🩺✍️🐂📖,"누가,의사누가",short_answer,,누가복음,인물
✍️🦅📖🧔,"요한,사도요한",short_answer,,요한복음,인물
💰🚫💀🧔👩,"아나니아와삽비라,아나니아,삽비라",short_answer,,사도행전,인물
🍞🍞🍞🍞🍞🐟🐟,오병이어의 기적,multiple_choice,오병이어의 기적;물 위를 걸으심;나사로의 부활;가나의 혼인잔치,요한복음,"사건,기적,치유"
👶⭐🌟🎁,예수님의 탄생,multiple_choice,예수님의 탄생;세례 요한의 탄생;성전 청결 사건;바울의 회심,누가복음,"사건,기적,치유"
🌊🚶‍♂️🧔⛵,물 위를 걸으심,multiple_choice,물 위를 걸으심;오병이어의 기적;풍랑을 잔잔케 하심;예수님의 승천,마태복음,"사건,기적,치유"
🪦🧔🩹✨,나사로의 부활,multiple_choice,나사로의 부활;야이로 딸의 부활;예수님의 부활;중풍병자 치유,요한복음,"사건,기적,치유"
🕊️🔥🗣️⚡,오순절 성령강림,multiple_choice,오순절 성령강림;예수님의 세례;최후의 만찬;바울의 회심,사도행전,"사건,기적,치유"
🍷🏺💧🍇,가나의 혼인잔치,multiple_choice,가나의 혼인잔치;오병이어의 기적;최후의 만찬;물 위를 걸으심,요한복음,"사건,기적,치유"
💨🌊🤫⛵,풍랑을 잔잔케 하심,multiple_choice,풍랑을 잔잔케 하심;물 위를 걸으심;예수님의 승천;중풍병자 치유,마가복음,"사건,기적,치유"
🪦🚪🔓✨,예수님의 부활,multiple_choice,예수님의 부활;나사로의 부활;예수님의 승천;야이로 딸의 부활,마태복음,"사건,기적,치유"
☁️⬆️🧔👀,예수님의 승천,multiple_choice,예수님의 승천;엘리야의 승천;예수님의 부활;오순절 성령강림,사도행전,"사건,기적,치유"
👑👑👑🎁,동방박사,short_answer,,마태복음,인물
💧🧔🕊️🙏,예수님의 세례,multiple_choice,예수님의 세례;세례요한의 탄생;성령 강림;변화산 사건,마태복음,"사건,기적,치유"
🍞🍷🍇🧔,최후의 만찬,multiple_choice,최후의 만찬;가나의 혼인잔치;오병이어의 기적;예수님의 세례,마태복음,"사건,기적,치유"
