emojis,answer,type,options,book,category,score
🇰🇷⚽7️⃣📸,"손흥민,쏘니,소니,sonny",short_answer,,월드컵,인물,10
🧨🧈🎤7️⃣,"방탄소년단,BTS,방탄,비티에스",short_answer,,연예,인물,10
"K-POP 기획사 중에서 뉴진스, 투모로우바이투게더, 세븐틴 등이 속해 있는 대형 엔터테인먼트 기업의 이름은 무엇일까요?","하이브,HYBE,hybe",short_answer,,연예,상식,10
"전 세계에서 가장 큰 동영상 공유 플랫폼으로, 많은 연예인들이 개인 채널을 개설해 팬들과 소통하는 이곳은 어디일까요?","유튜브,유투브,youtube",short_answer,,연예,상식,10
📺🎬🎵💿,"OST,ost,오에스티",short_answer,,연예,상식,10
영화나 드라마가 공식 개봉하기 전에 기대감을 높이기 위해 짧게 공개하는 홍보 영상은 무엇일까요?,"티저,예고편,티저영상,teaser",short_answer,,연예,상식,10
🤱⭐👼,"마리아,예수님어머니,mary",short_answer,,누가복음,인물,20
🧔🪵🔨👨‍👦✝️,"요셉,목수요셉,joseph",short_answer,,마태복음,인물,20
🌳🧔🤏👀💰,"삭개오,삭게오,뽕나무삭개오,뽕나무삭게오",short_answer,,누가복음,인물,20
🔑🐟⛵🧔🎣,"베드로,시몬,시몬베드로,피터,peter",short_answer,,마태복음,인물,20
🎓🎓🎓🌠🎁,"동방박사,동방박사들",short_answer,,마태복음,인물,20
🍞🍞🍞🍞🍞🐟🐟,오병이어의 기적,multiple_choice,오병이어의 기적;물 위를 걸으심;나사로의 부활;가나의 혼인잔치,요한복음,"사건,기적,치유",10
🤵👰🏺💧🍷,가나의 혼인잔치,multiple_choice,가나의 혼인잔치;오병이어의 기적;최후의 만찬;물 위를 걸으심,요한복음,"사건,기적,치유",10
🌊🚶🧔⛵,물 위를 걸으심,multiple_choice,물 위를 걸으심;오병이어의 기적;풍랑을 잔잔케 하심;예수님의 승천,마태복음,"사건,기적,치유",10
🧔3️⃣0️⃣🪙💋,"가룟유다,가롯유다,유다,가룟인유다,가롯인유다,judas",short_answer,,마태복음,인물,20
🍞🍷🍇🧔,최후의 만찬,multiple_choice,최후의 만찬;가나의 혼인잔치;오병이어의 기적;예수님의 침례,마태복음,"사건,기적,치유",10
✝️🔨🩸😭,십자가 사건,multiple_choice,십자가 사건;예수님의 광야 시험;예수님의 탄생;변화산 사건,마태복음,"사건,기적,치유",10
✝️🪨🚪🔓✨,예수님의 부활,multiple_choice,예수님의 부활;나사로의 부활;예수님의 승천;야이로 딸의 부활,마태복음,"사건,기적,치유",10
🎩⚽⚽⚽3️⃣✨,"해트트릭,헷트릭,헤트트릭",short_answer,,월드컵,상식,10
아이돌 그룹에서 대표로 인사말을 주도하고 인터뷰와 팀원들을 이끄는 역할을 무엇이라 할까요?,"리더,leader",short_answer,,연예,상식,10
🇦🇷⚽🐐👑,"메시,메씨,리오넬메시,messi",short_answer,,월드컵,인물,10
노래·춤·연기·예능 등 다방면에서 뛰어난 재능을 가진 사람을 무엇이라 부를까요?,"만능엔터테이너,올라운더,만능엔터",short_answer,,연예,상식,10
🔵🐉🎬🏆,"청룡영화상,청룡영화제",short_answer,,연예,상식,10
⚽🏃🏁🚫,오프사이드,multiple_choice,오프사이드;코너킥;페널티킥;프리킥,월드컵,규칙,5
🫳🪨🌿🌾,씨 뿌리는 자의 비유,multiple_choice,씨 뿌리는 자의 비유;알곡과 가라지 비유;겨자씨 비유;그물 비유,마태복음,"말씀,교훈,비유",10
🤏⚫🌱🌳,겨자씨 비유,multiple_choice,겨자씨 비유;씨 뿌리는 자의 비유;알곡과 가라지 비유;포도원 비유,마태복음,"말씀,교훈,비유",10
🧔🚶🐖🏠❤️,돌아온 탕자 비유,multiple_choice,돌아온 탕자 비유;선한 사마리아인 비유;씨 뿌리는 자의 비유;겨자씨 비유,누가복음,"말씀,교훈,비유",10
🩹🤕🐴❤️,선한 사마리아인 비유,multiple_choice,선한 사마리아인 비유;돌아온 탕자 비유;잃은 양 비유;달란트 비유,누가복음,"말씀,교훈,비유",10
🪙🪙🪙🧔,달란트 비유,multiple_choice,달란트 비유;포도원 품꾼 비유;불의한 청지기 비유;감추인 보화 비유,마태복음,"말씀,교훈,비유",10
🛠️👦🧔🏘️,"나사렛,나사랫,나사레,nazareth",short_answer,,마태복음,장소,25
⭐🏘️👼👶🐮,"베들레헴,베들래헴,bethlehem",short_answer,,마태복음,장소,25
🌃🌳🧔🙏,"겟세마네,겟세마네동산,겟세마니,gethsemane",short_answer,,마태복음,장소,25
💀⛰️✝️,"골고다,갈보리,골고다언덕,골고다의언덕,golgotha",short_answer,,마태복음,장소,25
예수님께서 어부인 베드로를 제자로 부르시고 물 위를 걷는 등 수많은 기적을 행하셨던 성경 속 가장 대표적인 호수(바다)는 어디일까요?,"갈릴리,갈릴리호수,갈릴리바다,galilee",short_answer,,마태복음,장소,30
경기 중 기온이 32도 이상일 때 선수들의 탈수를 막기 위해 전·후반 30분경에 주어지는 3분간의 공식 휴식 시간은 무엇일까요?,"하이드레이션브레이크,하이드레이션브레이크,쿨링브레이크,쿨링브레이크,워터브레이크,워터브레이크",short_answer,,2026월드컵,규칙,10
⚽🥅🧤1️⃣1️⃣,"페널티킥,패널티킥,pk,피케이",short_answer,,월드컵,규칙,10
2026 월드컵은 역사상 최초로 몇 개의 국가가 공동 개최할까요?,"3,3개국",multiple_choice,3개국;2개국;4개국;5개국,2026월드컵,상식,5
경기 수가 늘어나며 2026 월드컵은 총 몇 경기가 치러질까요?,"104,104경기",multiple_choice,104경기;64경기;80경기;96경기,2026월드컵,상식,5
⚽🥇🥾🏆,"골든부트,골든부츠,득점왕,득점상",short_answer,,월드컵,상식,10
🤑🍖🧎🐕,부자와 거지 나사로 비유,multiple_choice,부자와 거지 나사로 비유;돌아온 탕자 비유;불의한 청지기 비유;선한 사마리아인 비유,누가복음,"말씀,교훈,비유",10
🌊🧔💧🕊️,"요단강,요르단강,jordan",short_answer,,마태복음,장소,25
🏠⬆️🕊️🔥,"마가,마크,mark",short_answer,,마가복음,인물,20
다음 중 이번 2026 월드컵 본선 진출에는 실패한 국가는 어디일까요?,이탈리아 🇮🇹,multiple_choice,이탈리아 🇮🇹;코트디부아르 🇨🇮;우즈베키스탄 🇺🇿;카보베르데 🇨🇻,2026월드컵,상식,5
✉️🚶⛪📜,"바울,사도바울,사울,바오로,paul",short_answer,,사도행전,인물,20
🕯️💡🚫🪣,등불 비유,multiple_choice,등불 비유;소금과 빛;좁은 문과 넓은 길;겨자씨 비유,마태복음,"말씀,교훈,비유",10
🏰⛪👑👑,"예루살렘,예루살램,jerusalem",short_answer,,마태복음,장소,25
🏠⬆️🛏️⬇️,중풍병자 치유,multiple_choice,중풍병자 치유;나병환자 치유;소경 바디매오 치유;백부장 하인 치유,마가복음,"사건,기적,치유",10
🕊️🔥🗣️⚡,오순절 성령강림,multiple_choice,오순절 성령강림;예수님의 침례;최후의 만찬;바울의 회심,사도행전,"사건,기적,치유",10
월드컵 역사상 최초로 통산 3회째 본선 대회를 개최하는 나라는 어디일까요?,멕시코,multiple_choice,멕시코;미국;브라질;독일,2026월드컵,상식,5
🪦🧔🩹✨,나사로의 부활,multiple_choice,나사로의 부활;야이로 딸의 부활;예수님의 부활;중풍병자 치유,요한복음,"사건,기적,치유",10
📺⚽🕵❓,"var,비디오판독,비디오판독기",short_answer,,월드컵,규칙,10
⛓️⛓️🔓🎶,빌립보 감옥 해방,multiple_choice,빌립보 감옥 해방;베드로 탈옥;예수님의 부활;사도들의 체포,사도행전,"사건,기적,치유",10
🧔✋🩸👉🕳️❓,"도마,의심많은도마,사도도마,토마스,thomas",short_answer,,요한복음,인물,20
2026 북중미 월드컵부터 본선 참가국은 몇 개국으로 확대될까요?,"48,48개국",multiple_choice,48개국;32개국;24개국;64개국,2026월드컵,상식,5
🩺💉✍️📖,"누가,의사누가,루가,luke",short_answer,,누가복음,인물,20
💰🚫💀🧔👩,"아나니아와삽비라,아나니아삽비라,아나니아,삽비라",short_answer,,사도행전,인물,20
