emojis,answer,type,options,book,category
🇰🇷⚽7️⃣📸,"손흥민,쏘니",short_answer,,월드컵,인물
🇰🇷⚽🥖🗼,이강인,short_answer,,월드컵,인물
🇺🇸🇨🇦🇲🇽🏆,미국 캐나다 멕시코,multiple_choice,미국 캐나다 멕시코;한국 일본 중국;프랑스 독일 이탈리아;브라질 아르헨티나 우루과이,월드컵,상식
🇦🇷⚽🐐👑,"메시,리오넬 메시",short_answer,,월드컵,인물
⚽🏃‍♂️🏁🚫,오프사이드,multiple_choice,오프사이드;코너킥;페널티킥;프리킥,월드컵,규칙
⚽🥅🧤1️⃣1️⃣,"페널티킥,PK",short_answer,,월드컵,규칙
🟨⚠️🏃‍♂️🚫,"옐로카드,경고",short_answer,,월드컵,규칙
⚽📐🚩🥅,코너킥,multiple_choice,코너킥;프리킥;골킥;드로인,월드컵,규칙
🏆📅4️⃣❓,4년,multiple_choice,4년;2년;3년;5년,월드컵,상식
📺⚽🕵️‍♂️❓,"VAR,비디오 판독",short_answer,,월드컵,규칙
⚽🥇🥾🏆,"골든부트,득점왕",short_answer,,월드컵,상식
🇧🇷🏆5️⃣👑,브라질,multiple_choice,브라질;아르헨티나;독일;이탈리아,월드컵,상식
🎩⚽3️⃣✨,해트트릭,short_answer,,월드컵,상식
⏱️➕3️⃣0️⃣,연장전,multiple_choice,연장전;승부차기;후반전;인저리타임,월드컵,규칙
🏆🌍⚽4️⃣8️⃣,"48,48개국",multiple_choice,48개국;32개국;24개국;64개국,2026월드컵,상식
🇺🇸🇨🇦🇲🇽3️⃣🤝,"3,3개국",multiple_choice,3개국;2개국;4개국;5개국,2026월드컵,상식
⚽📅1️⃣0️⃣4️⃣,"104,104경기",multiple_choice,104경기;64경기;80경기;96경기,2026월드컵,상식
🌮🇲🇽🏟️3️⃣,멕시코,multiple_choice,멕시코;미국;브라질;독일,2026월드컵,상식
